x,y,heading
-5.608394931496679,-2.64376213402,244.46716308599997
-5.6340992428267205,-2.65567007288,244.47746276900003
-5.659803554156762,-2.6675669211,244.48739624
-5.685507863064465,-2.67944159778,244.496826172
-5.7111169715996235,-2.69128301088,244.50552368200002
-5.73663088218458,-2.7030689884,244.51431274400002
-5.762144790347198,-2.71479952475,244.523895264
-5.787658698509814,-2.7264524512,244.532394409
-5.813077403877549,-2.73806102667,244.541610718
-5.838305708500198,-2.74963634042,244.55836486799998
-5.863534013122848,-2.76118948078,244.56915283200001
-5.888571919422752,-2.77269826923,244.58039856
-5.913609818455637,-2.78419597168,244.591903687
-5.9385525195383195,-2.79564932175,244.603546143
-5.963495223043341,-2.8070804975,244.615951538
-5.988342721331141,-2.81846732507,244.627075195
-6.013190222041281,-2.82980980258,244.638290405
-6.037942519956538,-2.84111901792,244.649108887
-6.062599617499253,-2.85238388181,244.658493042
-6.08735191783685,-2.86361548537,244.668395996
-6.112009015379566,-2.87481382629,244.677276611
-6.136570912549738,-2.88601216534,244.686523438
-6.161228010092453,-2.89719941653,244.69607543900003
-6.185789904840285,-2.90836449433,244.70587158200001
-6.210256601637915,-2.91950739734,244.716659546
-6.234818496385747,-2.93060594937,244.726806641
-6.259285193183377,-2.94168232754,244.737854004
-6.283751887558667,-2.95271435659,244.748031616
-6.308123381561415,-2.96373529639,244.758224487
-6.332494875564162,-2.97473406186,244.76777648900003
-6.356866371989249,-2.98571064975,244.776275635
-6.381142665619454,-2.99666506657,244.784317017
-6.405418959249659,-3.00763057079,244.791992188
-6.429600050084982,-3.01857389789,244.80029296900003
-6.453781143342645,-3.02952831471,244.808502197
-6.4779622341779675,-3.04048272874,244.817092896
-6.502048124640748,-3.05141496891,244.82691955599998
-6.526134017525868,-3.06231394783,244.836868286
-6.550219907988648,-3.07316857483,244.84677124
-6.574210595656545,-3.08397885319,244.856445312
-6.598106085374241,-3.09473369457,244.865859985
-6.622001575091936,-3.10547744902,244.875152588
-6.645801862014749,-3.11619902728,244.884643555
-6.669506948565019,-3.12689842936,244.894088745
-6.69321203269295,-3.13758674869,244.903793335
-6.71691711924322,-3.14825288905,244.914093018
-6.740527005420947,-3.15888576908,244.924102783
-6.764041688803793,-3.1694742986,244.93399047900002
-6.7876515749815205,-3.18004065147,244.94372558599997
-6.811166255942027,-3.19057374215,244.953689575
-6.83458574137467,-3.20108465897,244.96325683599997
-6.858005224384972,-3.21156231361,244.972640991
-6.881424707395276,-3.22203996778,244.98143005400001
-6.904748990033036,-3.23251762381,244.989395142
-6.9279780698759135,-3.24299527844,244.997314453
-6.9512071472964525,-3.25347292935,245.004592896
-6.97443622956167,-3.2639173232,245.012451172
-6.997570109032006,-3.27431736561,245.02001953099997
-7.0207039885023415,-3.28467305657,245.02830505400001
-7.043647464805252,-3.29499548674,245.027496338
-7.066590943530503,-3.30529574258,245.036956787
-7.089439219460871,-3.31558490777,245.046768188
-7.112192295018697,-3.32587407669,245.056213379
-7.13485016778164,-3.336185419,245.066238403
-7.157508042966923,-3.34649675898,245.07527160599997
-7.180165915729867,-3.35681919148,245.083282471
-7.202728588120268,-3.36711944407,245.091186523
-7.225196060138126,-3.37740861252,245.099136353
-7.247663529733645,-3.38767560385,245.10768127400002
-7.270130999329163,-3.39793150825,245.116607666
-7.292598473769361,-3.40817632852,245.125808716
-7.3148755401974555,-3.41845440678,245.135620117
-7.337152609047889,-3.42873248551,245.145935059
-7.3594296803206625,-3.43903274089,245.15637207
-7.381611548798554,-3.44932191027,245.166549683
-7.403793414854105,-3.45957781374,245.17669677700002
-7.425975283331996,-3.46978936903,245.186401367
-7.448061949015004,-3.47995657101,245.19581604
-7.470148614698013,-3.49009051407,245.204971313
